date,count
2024-07-09,479
2024-07-10,500
2024-07-11,472
2024-07-12,460
2024-07-13,330
2024-07-14,304
2024-07-15,502
2024-07-16,504
2024-07-17,474
2024-07-18,472
2024-07-19,452
2024-07-20,315
2024-07-21,281
2024-07-22,510
2024-07-23,468
2024-07-24,457
2024-07-25,464
2024-07-26,485
2024-07-27,319
2024-07-28,399
2024-07-29,628
2024-07-30,619
2024-07-31,571
2024-08-01,455
2024-08-02,458
2024-08-03,325
2024-08-04,357
2024-08-05,493
2024-08-06,467
2024-08-07,466
2024-08-08,450
2024-08-09,454
2024-08-10,313
2024-08-11,296
2024-08-12,527
2024-08-13,496
2024-08-14,452
2024-08-15,439
2024-08-16,447
2024-08-17,321
2024-08-18,318
2024-08-19,510
2024-08-20,482
2024-08-21,448
2024-08-22,486
2024-08-23,513
2024-08-24,317
2024-08-25,326
2024-08-26,561
2024-08-27,503
2024-08-28,598
2024-08-29,583
2024-08-30,638
2024-08-31,450
2024-09-01,338
2024-09-02,548
2024-09-03,484
2024-09-04,491
2024-09-05,484
2024-09-06,487
2024-09-07,307
2024-09-08,342
2024-09-09,518
2024-09-10,494
2024-09-11,519
2024-09-12,470
2024-09-13,502
2024-09-14,324
2024-09-15,346
2024-09-16,525
2024-09-17,501
2024-09-18,488
2024-09-19,510
2024-09-20,485
2024-09-21,294
2024-09-22,346
2024-09-23,535
2024-09-24,516
2024-09-25,681
2024-09-26,705
2024-09-27,706
2024-09-28,678
2024-09-29,639
2024-09-30,875
2024-10-01,509
2024-10-02,508
2024-10-03,522
2024-10-04,507
2024-10-05,351
2024-10-06,322
2024-10-07,529
2024-10-08,484
2024-10-09,507
2024-10-10,526
2024-10-11,478
2024-10-12,302
2024-10-13,308
2024-10-14,532
2024-10-15,489
2024-10-16,470
2024-10-17,505
2024-10-18,468
2024-10-19,335
2024-10-20,328
2024-10-21,530
2024-10-22,506
2024-10-23,495
2024-10-24,500
2024-10-25,473
2024-10-26,306
2024-10-27,321
2024-10-28,649
2024-10-29,606
2024-10-30,614
2024-10-31,632
2024-11-01,491
2024-11-02,354
2024-11-03,331
2024-11-04,544
2024-11-05,476
2024-11-06,526
2024-11-07,496
2024-11-08,472
2024-11-09,313
2024-11-10,314
2024-11-11,562
2024-11-12,493
2024-11-13,494
2024-11-14,468
2024-11-15,484
2024-11-16,326
2024-11-17,352
2024-11-18,560
2024-11-19,497
2024-11-20,476
2024-11-21,497
2024-11-22,508
2024-11-23,327
2024-11-24,327
2024-11-25,516
2024-11-26,495
2024-11-27,474
2024-11-28,598
2024-11-29,606
2024-11-30,450
2024-12-01,360
2024-12-02,576
2024-12-03,499
2024-12-04,496
2024-12-05,504
2024-12-06,507
2024-12-07,331
2024-12-08,343
2024-12-09,552
2024-12-10,504
2024-12-11,518
2024-12-12,518
2024-12-13,514
2024-12-14,342
2024-12-15,340
2024-12-16,549
2024-12-17,528
2024-12-18,494
2024-12-19,524
2024-12-20,516
2024-12-21,344
2024-12-22,338
2024-12-23,539
2024-12-24,505
2024-12-25,714
2024-12-26,754
2024-12-27,692
2024-12-28,648
2024-12-29,653
2024-12-30,860
2024-12-31,27
